general_plant_id,watering,watering_general_benchmark,sunlight,soil,drought_tolerant,salt_tolerant,pruning_month,pruning_count,pest_susceptibility,flowers_detail,harvest_season,growth_rate,maintenance,care_level,watering_guide,sunlight_guide,pruning_guide
1,Frequent,"At least once ""7-10"" days",['full sun'],[],False,False,"['February', 'March', 'April']",,[],,,High,,Medium,,,
2,Average,"At least once ""7-10"" days",['full sun'],[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
3,Average,"At least once ""7-10"" days","['Full sun', 'part shade']","['Acidic', ' Rocky ', ' gravelly ', ' dry', ' Well-drained']",True,False,"['February', 'March', 'April']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Dieback', ' Root rot', '  Pest resistant', ' Disease resistant ']",,,Low,Moderate,Moderate,,,
4,Average,"At least once ""7-10"" days",['full sun'],[],True,False,"['February', 'June', 'July', 'February', 'June', 'July']",,[],,,Low,,Medium,,,
5,Frequent,"At least once ""6-12"" days","['full sun', 'part shade', 'filtered shade']",['Well-drained'],False,False,"['February', 'March', 'April', 'June', 'July', 'August']",,"['Aphids', 'adelgids', '  Pest resistant', ' Disease resistant ']",,,Moderate,Moderate,Medium,,,
6,Average,"At least once ""7-10"" days","['Full sun', 'part shade']",['Well-drained'],False,False,"['June', 'May']",,"['Aphids', 'adelgids', ' Blight', 'needle cast', ' Caterpillar', 'cutworm', ' Root rot', ' Rust', '  Pest resistant', ' Disease resistant', ' Deer resistant', ' Drought resistant ']",,,Low,Moderate,Medium,,,
7,Average,"At least once ""7-10"" days","['full sun', 'part shade']",['Loamy Rocky'],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
8,Average,"At least once ""7-10"" days","['Full sun', 'part shade']",[],True,True,"['March', 'April', 'June', 'July', 'August', 'March', 'April', 'May', 'June', 'July', 'August']",,[],,,Low,Moderate,Medium,,,
9,Average,"At least once ""7-10"" days",['full sun'],['Loamy Rocky'],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
10,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Medium,,,
11,Average,"At least once ""3-4"" days","['Full sun', 'part shade']",[],True,False,"['March', 'April']",,[],Flowers in Spring,,Low,Low,Medium,,,
12,Average,,"['full sun', 'part shade']",[],True,False,"['February', 'February', 'March']",,[],,,Low,,Moderate,,,
13,Frequent,"At least once ""7-10"" days",['full sun'],[],True,False,"['February', 'March', 'April', 'May']",,[],,,High,,Moderate,,,
14,Frequent,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,High,,Moderate,,,
15,Frequent,"At least once ""7-10"" days","['full sun', 'part shade']",[],True,False,"['May', 'June', 'July']",,[],,,Low,,,,,
16,Average,"At least once ""3-4"" days","['Full sun', 'part shade']","['Acidic', ' Well-drained']",False,False,"['March', 'April', 'August', 'March', 'April', 'August']",,"['Galls', ' Heart rot', ' Mites', ' Root rot', '  Pest resistant', ' Disease resistant ']",Flowers in Spring,Fall,Low,Low,Medium,,,
17,Average,"At least once ""3-4"" days","['Full sun', 'part shade']",[],True,False,"['February', 'March', 'April', 'May']",,[],Flowers in Spring,,Low,Low,Medium,,,
18,Average,"At least once ""7-10"" days","['Full sun', 'part shade']","['Humus rich', ' Well-drained']",True,False,"['March', 'April', 'June', 'July', 'August']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Caterpillar', 'cutworm', ' Fungal leaf spot', ' Galls', ' Heart rot', ' Mites', ' Root rot', ' Scale insects', ' Wilt']",Flowers in Spring,Fall,Moderate,Low,Medium,,,
19,Average,,"['full sun', 'part shade']",[],False,False,['February'],,[],,,High,,High,,,
20,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'March', 'April', 'May', 'June', 'July', 'August', 'September']",,[],,,Low,,Medium,,,
21,Average,,"['full sun', 'part shade', 'filtered shade']",[],True,False,"['March', 'April', 'May', 'June', 'July']",,[],,,Low,,,,,
22,Average,"At least once ""7-10"" days","['Full sun', 'part shade']",[],True,False,"['February', 'March', 'April']",,[],Flowers in Spring,,Low,Low,Medium,,,
23,Average,"At least once ""7-10"" days","['full sun', 'part sun/part shade']",['Sandy Loamy'],False,False,"['February', 'March', 'April', 'May', 'March', 'April', 'May', 'June', 'July', 'August', 'September']",,"['Fungal leaf spot', ' Heart rot', ' Mildew', '  Pest resistant', ' Disease resistant ']",Flowers in Spring,Fall,Moderate,Low,Medium,,,
24,Average,"At least once ""7-10"" days","['full sun', 'part shade']",['Sandy Loamy'],True,False,"['February', 'March', 'April']",,"['Fungal leaf spot', ' Heart rot', ' Mildew', '  Pest resistant', ' Disease resistant ']",Flowers in Spring,Fall,Moderate,Low,Medium,,,
25,Average,,"['full sun', 'part sun/part shade']",['Sandy Loamy Clay'],True,True,"['March', 'April', 'May']",,"['Anthracnose', ' Canker', 'sap rot', ' Mildew', ' Stem borer insects', '  Drought resistant ']",,,Low,Low,Medium,,,
26,Frequent,"At least once ""7-10"" days","['full sun', 'part sun/part shade']",['Sandy Loamy Clay'],False,True,"['March', 'April', 'May']",,"['Anthracnose', ' Canker', 'sap rot', ' Mildew', ' Stem borer insects', '  Drought resistant ']",,,Low,Low,,,,
27,Average,,"['Full sun', 'part shade']",['Well-drained'],False,False,"['February', 'March', 'April']",,"['Anthracnose', ' Canker', 'sap rot', ' Caterpillar', 'cutworm', ' Mildew', ' Wilt', '  Pest resistant', ' Disease resistant', ' Rabbit resistant ']",Flowers in Spring,Fall,Low,Low,Moderate,,,
28,Frequent,"At least once ""3-4"" days",['part sun/part shade'],[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
29,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,,,,
30,Frequent,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
31,Frequent,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'May', 'February', 'March', 'April', 'March', 'April']",,[],,,Low,,Moderate,,,
32,Average,"At least once ""3-4"" days","['Full sun', 'part shade']",[],False,False,['May'],,[],Flowers in Spring,Fall,Low,Low,,,,
33,Average,"At least once ""2-3"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
34,Minimum,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'May']",,[],,,Low,,High,,,
35,Average,"At least once ""5-7"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
36,Average,,"['part shade', 'part sun/part shade']",[],False,False,"['February', 'March', 'April', 'March', 'April', 'May', 'August', 'June', 'July', 'August', 'May']",,[],,,Low,,Medium,,,
37,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['September', 'October', 'November', 'February', 'February', 'March']",,[],,,Low,,Medium,,,
38,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'March', 'April', 'May', 'June', 'July', 'August', 'September']",,[],,,Low,,Medium,,,
39,Frequent,,"['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Moderate,,,,,
40,Average,"At least once ""2-3"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'May']",,[],,,Low,,Medium,,,
41,Average,,"['full sun', 'part shade']",[],False,False,"['May', 'June', 'July', 'August', 'June', 'July', 'August', 'March', 'April', 'May']",,[],,,Low,,Medium,,,
42,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'May']",,[],,,Low,,Moderate,,,
43,Average,"At least once ""7-10"" days","['full sun', 'part sun/part shade']",[],False,False,"['February', 'March', 'April', 'December', 'January', 'February', 'March', 'April']",,[],Flowers in Spring,,High,Low,Moderate,,,
44,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
45,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Moderate,,,
46,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],Flowers in Spring,,Low,Low,Moderate,,,
47,Average,,"['Full sun', 'part shade']",[],False,False,"['March', 'April', 'May']",,[],Flowers in Spring,,Low,Low,Medium,,,
48,Frequent,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'February', 'April']",,[],,,Low,,,,,
49,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'August', 'February', 'August', 'May']",,[],,,Low,,Medium,,,
50,Frequent,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,,,,
51,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
52,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'August']",,[],,,Moderate,,Medium,,,
53,Average,"At least once ""2-3"" days",['full sun'],[],False,False,"['February', 'March', 'April']",,[],,,Low,,High,,,
54,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Moderate,,,
55,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'May']",,[],,,Low,,Medium,,,
56,Average,,"['full sun', 'part shade']",[],False,False,"['May', 'June', 'July']",,[],,,Moderate,,,,,
57,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
58,Average,"At least once ""2-3"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'May', 'May']",,[],,,Low,,Medium,,,
59,Average,"At least once ""7-10"" days","['part shade', 'part sun/part shade']",[],False,False,"['March', 'April', 'May']",,[],,,Low,,Medium,,,
60,Average,,"['part sun/part shade', 'part shade']",[],False,False,"['February', 'March', 'April', 'March', 'April', 'May']",,[],,,Low,,Medium,,,
61,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'April', 'August', 'August', 'March', 'April', 'August']",,[],Flowers in Spring,,Low,Low,,,,
62,Frequent,,"['part shade', 'part sun/part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
63,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
64,Frequent,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
65,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'February', 'March']",,[],,,Low,,Medium,,,
66,Frequent,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
67,Frequent,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'March', 'April']",,[],,,Low,,Medium,,,
68,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'May']",,[],,,Low,,,,,
69,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'August', 'June', 'July', 'August']",,[],,,Low,,Medium,,,
70,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,['February'],,[],,,Moderate,,Medium,,,
71,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Medium,,,
72,Average,"At least once ""7-10"" days","['part shade', 'part sun/part shade']",[],False,False,"['February', 'March', 'April']",,[],Flowers in Spring,,Low,Low,,,,
73,Frequent,"At least once ""5-7"" days","['full sun', 'part sun/part shade']",[],False,False,"['March', 'April', 'May']",,[],,,Low,,Moderate,,,
74,Frequent,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'January', 'April']",,[],,,Low,,Moderate,,,
75,Average,,"['full sun', 'part shade']",[],False,False,['February'],,[],,,Low,,Medium,,,
76,Average,"At least once ""7-10"" days","['filtered shade', 'full sun only if soil kept moist', 'part sun/part shade']","['Acidic', ' Humus rich', ' Well-drained']",False,False,"['February', 'March', 'April', 'May']",,"['Fungal leaf spot', ' Heart rot', ' Mites', ' Root rot', ' Scale insects', ' Wilt']",Flowers in Spring,Fall,Moderate,Low,Medium,,,
77,Average,,"['full sun', 'part shade']",[],False,False,"['June', 'July', 'February', 'March', 'April']",,[],,,Low,,Medium,,,
78,Average,"At least once ""7-10"" days","['part shade', 'part sun/part shade']",[],False,False,"['May', 'June', 'July']",,[],,,Low,,,,,
79,Average,,"['part shade', 'part sun/part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
80,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'January', 'February']",,[],,,Low,,Medium,,,
81,Average,"At least once ""7-10"" days","['part sun/part shade', 'full sun']",[],False,False,"['December', 'January']",,[],,,Low,,,,,
82,Average,,['full sun'],[],False,False,"['February', 'March', 'April']",,[],Flowers in Spring,,Low,Low,Medium,,,
83,Frequent,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['May', 'June', 'July']",,[],Flowers in Spring,Fall,Low,Low,Medium,,,
84,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['May', 'June', 'July', 'August']",,[],,,Low,,High,,,
85,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,['May'],,[],,,Low,,,,,
86,Average,"At least once ""5-7"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'June', 'July', 'August']",,[],,,Low,,Moderate,,,
87,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['June', 'July', 'August', 'March', 'April', 'May', 'March', 'April']",,[],,,Moderate,,Medium,,,
88,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
89,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'February']",,[],,,Moderate,,Medium,,,
90,Average,"At least once ""2-3"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Medium,,,
91,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],Flowers in Spring,,Low,Low,Moderate,,,
92,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
93,Frequent,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
94,Frequent,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Medium,,,
95,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'June', 'July', 'August', 'July', 'August', 'December', 'January', 'February']",,[],,,Low,,Medium,,,
96,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'August', 'February', 'August', 'May']",,[],,,Low,,Medium,,,
97,Frequent,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'May', 'June', 'July']",,[],,,Low,,Medium,,,
98,Frequent,,"['full sun', 'part shade']",[],False,False,"['May', 'June', 'July']",,[],,,Low,,Moderate,,,
99,Frequent,,['full sun'],[],False,False,"['December', 'January', 'February', 'March', 'April', 'May']",,[],,,Low,,Moderate,,,
100,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November']",,[],,,Low,,Moderate,,,
101,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Medium,,,
102,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
103,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,,,,
104,Average,"At least once ""2-3"" days","['full sun', 'part shade']",[],False,False,"['June', 'July', 'February', 'June', 'July', 'February']",,[],,,Low,,Medium,,,
105,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],True,False,"['March', 'April', 'June', 'July', 'August']",,[],,,Low,,Medium,,,
106,Frequent,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],Flowers in Spring,Fall,Low,Low,High,,,
107,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'May']",,[],,,Low,,Medium,,,
108,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['May', 'June', 'July', 'March', 'April', 'May', 'June', 'July', 'August', 'September']",,[],,,Low,,Medium,,,
109,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'May']",,[],,,Low,,Medium,,,
110,Frequent,,"['part sun/part shade', 'part shade']",[],False,False,"['March', 'April', 'August', 'December', 'January', 'February']",,[],,,Low,,Medium,,,
111,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'May', 'March', 'April', 'May', 'February', 'June', 'July', 'August']",,[],,,Low,,Moderate,,,
112,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
113,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'June', 'July', 'August', 'May']",,[],,,Low,,Medium,,,
114,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Moderate,,Medium,,,
115,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
116,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'August', 'March', 'April', 'August', 'March', 'April', 'May', 'June', 'July', 'August', 'September']",,[],Flowers in Spring,,Low,Low,Medium,,,
117,Frequent,"At least once ""7-10"" days",['part sun/part shade'],[],False,False,"['March', 'April', 'March', 'April']",,[],,,High,,Moderate,,,
118,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'June', 'July', 'August', 'March', 'April', 'June', 'July', 'August']",,[],Flowers in Spring,Fall,Low,Low,,,,
119,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'March', 'April', 'May', 'June', 'July', 'August']",,[],,,Low,,Medium,,,
120,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'August', 'December', 'January', 'February', 'June', 'July', 'August', 'May']",,[],Flowers in Spring,,Low,Low,Medium,,,
121,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'February', 'April']",,[],Flowers in Spring,,Low,Low,Medium,,,
122,Average,"At least once ""7-10"" days",['full sun'],[],False,False,"['February', 'March', 'April', 'May']",,[],,,Low,,Medium,,,
123,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],Flowers in Spring,,Low,Moderate,Medium,,,
124,Frequent,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'May', 'August']",,[],,,Low,,High,,,
125,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'May', 'March', 'April', 'May', 'February', 'March', 'April']",,[],,,Low,,,,,
126,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'March', 'April', 'May', 'June', 'July', 'August', 'September']",,[],Flowers in Spring,,Low,Low,Moderate,,,
127,Frequent,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'May', 'June', 'July', 'August']",,[],,,Low,,Moderate,,,
128,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
129,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
130,Frequent,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'June', 'July', 'August', 'May']",,[],,,Low,,Moderate,,,
131,Average,,"['full sun', 'part shade']",[],False,False,"['March', 'April', 'March', 'April', 'May']",,[],Flowers in Spring,,Moderate,Low,Medium,,,
132,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['April', 'June', 'July', 'August']",,[],,,Low,,Medium,,,
133,Frequent,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
134,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Moderate,,,
135,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
136,Frequent,,"['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Moderate,,,
137,Frequent,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'May', 'June', 'July', 'August', 'May']",,[],,,Low,,Medium,,,
138,Average,,"['full sun', 'part shade']",[],False,False,"['May', 'May', 'June', 'June', 'July', 'June', 'July', 'May', 'June', 'July', 'August']",,[],,,Low,,,,,
139,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['February', 'March', 'April', 'May']",,[],Flowers in Spring,,Low,Low,Moderate,,,
140,Average,"At least once ""3-4"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Moderate,,,
141,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
142,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April', 'May', 'December', 'January', 'February', 'March', 'April', 'May', 'December', 'January', 'February', 'December', 'January', 'February', 'March', 'April']",,[],,,Low,,Moderate,,,
143,Average,,"['full sun', 'part shade']",[],False,False,"['February', 'March', 'April']",,[],,,Low,,,,,
144,Average,"At least once ""3-4"" days","['full sun', 'part shade']",['Sandy Loamy Clay'],True,True,"['May', 'February', 'March', 'April']",,[],,Fall,Moderate,Low,Medium,,,
145,Average,"At least once ""7-10"" days","['part sun/part shade', 'full sun']","['Humus rich', ' Well-drained']",False,False,"['February', 'February', 'March']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Caterpillar', 'cutworm', ' Mildew', ' Wilt', '  Drought resistant ']",,Fall,High,Low,Medium,,,
146,Average,,"['full sun', 'part sun/part shade']","['Humus rich', ' Well-drained']",False,False,"['March', 'April']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Caterpillar', 'cutworm', ' Mildew', ' Wilt', '  Drought resistant ']",,Fall,High,Low,Medium,,,
147,Minimum,,"['full sun', 'part sun/part shade']","['Humus rich', ' Well-drained']",False,False,"['February', 'March', 'April']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Caterpillar', 'cutworm', ' Mildew', ' Wilt', '  Drought resistant ']",,Fall,High,Low,Medium,,,
148,Average,"At least once ""7-10"" days","['full sun', 'part sun/part shade']","['Humus rich', ' Well-drained']",False,False,"['February', 'March', 'April']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Caterpillar', 'cutworm', ' Mildew', ' Wilt', '  Drought resistant ']",,Fall,High,Low,Medium,,,
149,Average,"At least once ""3-4"" days","['full sun', 'part sun/part shade']","['Humus rich', ' Well-drained']",False,False,"['February', 'March', 'April']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Caterpillar', 'cutworm', ' Mildew', ' Wilt', '  Drought resistant ']",,Fall,High,Low,Medium,,,
150,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],True,False,"['February', 'March', 'April']",,[],,Fall,High,,Medium,,,
151,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],True,False,"['February', 'March', 'April', 'December', 'January', 'February', 'March', 'April', 'May', 'May']",,[],,Fall,Low,,Medium,,,
152,Average,,"['full sun', 'part shade']",[],False,True,"['February', 'March', 'April']",,[],Flowers in Spring,Fall,Low,Low,Medium,,,
153,Average,"At least once ""2-3"" days",['full sun'],['Sandy Loamy Clay'],False,False,"['February', 'March', 'April']",,"['Heteroptera - true bugs', ' Mites', ' Stem borer insects', ' Wilt', '  Drought resistant ']",,Fall,Moderate,Low,Medium,,,
