threatened_plant_id,soil,sun,propagation_methods,propagation_level,cultivation_note
3100,"Moderately Draining, Heavy",Part Shade,Seed/Division,Can be propagated - but requires significant time/effort,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3101,Free Draining,Part Shade,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3102,Moderately Draining,Full Sun,Seed/Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3103,"Free Draining, Moderately Draining","Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3104,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3105,Free Draining,Part Shade,Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3106,Free Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3107,Moderately Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3108,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3109,"Free Draining, Moderately Draining",Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3110,Moderately Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3111,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3112,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3113,"Free Draining, Moderately Draining",Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3114,Free Draining,Part Shade,Cuttings,Can be propagated - but requires significant time/effort,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3115,Free Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3116,Free Draining,Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3117,"Free Draining, Moderately Draining",Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3118,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3119,"Free Draining, Moderately Draining",Full Sun,Seed,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3120,Free Draining,Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3121,Moderately Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3122,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3123,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3124,Free Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3125,Free Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3126,Moderately Draining,"Full Sun, Part Shade",Seed/Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3127,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3128,"Moderately Draining, Heavy","Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3129,Moderately Draining,"Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3130,"Free Draining, Moderately Draining",Full Sun,Seed,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3131,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3132,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3133,Free Draining,Full Sun,Seed/Division,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3134,Moderately Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3135,Moderately Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3136,"Moderately Draining, Heavy",Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3137,"Free Draining, Moderately Draining","Part Shade, Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3138,Free Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3139,Moderately Draining,"Full Sun, Part Shade",Seed,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3140,Free Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3141,"Moderately Draining, Heavy",Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3142,Moderately Draining,Full Sun,Seed,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3143,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3144,"Free Draining, Moderately Draining",Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3145,"Free Draining, Moderately Draining",Part Shade,Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3146,"Free Draining, Moderately Draining",Full Sun,Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3147,Free Draining,"Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3148,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade, Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3149,Free Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3150,Free Draining,Full Sun,Cuttings,Can be propagated - but requires significant time/effort,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3151,Moderately Draining,"Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3152,"Moderately Draining, Heavy",Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3153,Free Draining,Part Shade,Seed,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3154,Moderately Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3155,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3156,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3157,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3158,"Free Draining, Moderately Draining",Full Sun,Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3159,"Free Draining, Moderately Draining",Full Sun,Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3160,Moderately Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3161,Free Draining,"Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3162,"Free Draining, Moderately Draining",Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3163,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3164,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3165,"Free Draining, Moderately Draining",Part Shade,Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3166,"Free Draining, Moderately Draining",Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3167,"Moderately Draining, Heavy",Full Sun,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3168,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3169,Free Draining,Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3170,Free Draining,Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3171,Free Draining,Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3172,Free Draining,Shade,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3173,Moderately Draining,Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3174,Moderately Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3175,"Free Draining, Moderately Draining","Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3176,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3177,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3178,Free Draining,Part Shade,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3179,Moderately Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3180,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3181,"Moderately Draining, Heavy",Full Sun,Seed/Division,Can be propagated - but requires significant time/effort,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3182,Moderately Draining,Full Sun,Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3183,Moderately Draining,Full Sun,Seed,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3184,Moderately Draining,"Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3185,Moderately Draining,"Part Shade, Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3186,Free Draining,Full Sun,Seed/Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3187,Moderately Draining,Part Shade,Seed,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3188,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3189,Free Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3190,Free Draining,Full Sun,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3191,"Free Draining, Moderately Draining",Part Shade,Seed/Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3192,"Moderately Draining, Heavy",Full Sun,Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3193,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3194,"Moderately Draining, Heavy","Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3195,Moderately Draining,Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3196,Free Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3197,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3198,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3199,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3200,Moderately Draining,Full Sun,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
