general_plant_id,sunlight,watering,drought_tolerant,absolute_min_temp_c
398,"[""full sun"", ""part shade""]",Average,True,-17.8
399,"[""full sun"", ""part shade""]",Average,False,-23.3
400,"[""full sun"", ""part shade""]",Average,True,-28.9
401,"[""Full sun"", ""part shade""]",Average,False,-23.3
402,"[""full sun"", ""part shade""]",Average,True,-28.9
403,"[""full sun"", ""part shade""]",Average,False,-23.3
404,"[""full sun"", ""part shade""]",Average,False,-23.3
405,"[""full sun"", ""part shade""]",Average,False,-23.3
406,"[""full sun"", ""part shade""]",Average,False,-28.9
407,"[""full sun"", ""part shade""]",Average,False,-34.4
408,"[""full sun"", ""part shade""]",Average,False,-23.3
409,"[""full sun""]",Average,True,-28.9
410,"[""full sun""]",Frequent,True,-45.6
411,"[""Full sun""]",Average,False,-45.6
412,"[""Full sun""]",Average,True,-12.2
413,"[""full sun""]",Average,True,-6.7
414,"[""full sun""]",Average,False,-40.0
415,"[""full sun"", ""part sun/part shade""]",Average,False,-40.0
416,"[""part sun/part shade"", ""full sun""]",Average,False,-40.0
417,"[""Full sun"", ""part shade""]",Average,False,-23.3
418,"[""full sun""]",Average,False,-28.9
419,"[""full sun""]",Average,False,-34.4
420,"[""full sun"", ""part shade""]",Average,False,-28.9
421,"[""full sun"", ""part shade""]",Average,False,-34.4
422,"[""full sun"", ""part shade""]",Average,False,-34.4
423,"[""full sun"", ""part shade""]",Average,False,-34.4
424,"[""full sun""]",Average,True,-23.3
425,"[""full sun"", ""part shade""]",Frequent,True,-6.7
426,"[""full sun"", ""part shade""]",Average,True,-6.7
427,"[""full sun"", ""part shade""]",Average,True,-6.7
428,"[""full sun""]",Average,True,-6.7
429,"[""full sun"", ""part shade""]",Average,True,-6.7
431,"[""full sun""]",Average,True,-6.7
432,"[""full sun""]",Average,True,-28.9
433,"[""full sun"", ""part shade""]",Average,False,-1.1
434,"[""full sun"", ""part shade""]",Frequent,False,-1.1
435,"[""full sun""]",Average,True,-34.4
436,"[""full sun"", ""part shade""]",Average,True,-28.9
437,"[""full sun"", ""part shade""]",Average,False,-17.8
438,"[""part sun/part shade"", ""full sun""]",Average,True,-17.8
439,"[""full sun"", ""part shade""]",Minimum,True,-17.8
440,"[""full sun"", ""part shade""]",Average,True,-17.8
441,"[""full sun"", ""part shade""]",Average,False,-28.9
442,"[""full sun"", ""part shade""]",Average,True,-23.3
443,"[""full sun"", ""part shade""]",Minimum,True,-12.2
457,"[""full sun"", ""part shade""]",Average,False,-28.9
458,"[""full sun"", ""part shade""]",Average,False,-28.9
459,"[""full sun"", ""part shade""]",Average,False,-28.9
471,"[""full sun""]",Average,False,-40.0
472,"[""full sun""]",Minimum,False,-40.0
473,"[""full sun"", ""part shade""]",Average,False,-40.0
474,"[""Full sun""]",Minimum,True,-40.0
475,"[""full sun""]",Average,True,-40.0
476,"[""full sun""]",Frequent,True,-40.0
477,"[""full sun""]",Frequent,True,-40.0
478,"[""full sun""]",Average,True,-40.0
479,"[""full sun""]",Average,True,-40.0
480,"[""full sun""]",Average,True,-40.0
481,"[""full sun""]",Average,True,-40.0
482,"[""full sun""]",Average,True,-40.0
483,"[""full sun""]",Average,False,-40.0
484,"[""full sun""]",Average,True,-40.0
485,"[""full sun"", ""part sun/part shade""]",Average,False,-40.0
486,"[""full sun""]",Average,True,-40.0
487,"[""Full sun""]",Average,False,-40.0
488,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
489,"[""full sun"", ""part shade""]",Average,False,-40.0
490,"[""full sun""]",Average,True,-40.0
491,"[""full sun"", ""part shade""]",Frequent,True,-40.0
492,"[""full sun"", ""part shade""]",Minimum,True,-40.0
493,"[""full sun""]",Average,True,-28.9
494,"[""full sun""]",Average,True,-28.9
495,"[""full sun""]",Average,False,-28.9
496,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
497,"[""full sun""]",Average,True,-40.0
498,"[""full sun""]",Average,True,-40.0
499,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
500,"[""full sun""]",Average,False,-40.0
501,"[""full sun""]",Average,False,-40.0
502,"[""part shade""]",Average,False,-1.1
503,"[""full sun""]",Average,False,-17.8
504,"[""full sun""]",Frequent,False,-6.7
505,"[""full sun"", ""part shade""]",Average,False,-34.4
506,"[""full sun""]",Average,True,-40.0
507,"[""full sun"", ""part shade""]",Average,True,-40.0
508,"[""full sun"", ""part shade""]",Average,False,-40.0
509,"[""full sun"", ""part shade""]",Average,False,-34.4
510,"[""part shade"", ""filtered shade""]",Average,False,-40.0
511,"[""full sun"", ""part shade""]",Average,False,-40.0
512,"[""full sun"", ""part shade""]",Average,False,-34.4
513,"[""full sun"", ""part shade""]",Frequent,True,-34.4
514,"[""full sun"", ""part shade""]",Average,True,-34.4
515,"[""full sun"", ""part shade""]",Frequent,True,-23.3
516,"[""full sun"", ""part shade""]",Average,True,-28.9
517,"[""part shade"", ""part sun/part shade""]",Average,True,-28.9
518,"[""full sun"", ""part shade""]",Average,True,-28.9
519,"[""full sun"", ""part shade""]",Average,True,-28.9
520,"[""full sun"", ""part shade""]",Average,True,-28.9
521,"[""part shade"", ""full shade""]",Average,True,-34.4
522,"[""full sun"", ""part sun/part shade""]",Average,False,-34.4
523,"[""part shade"", ""part sun/part shade""]",Average,True,-34.4
524,"[""part sun/part shade""]",Frequent,False,-40.0
525,"[""part shade"", ""part sun/part shade"", ""full sun""]",Average,True,-34.4
526,"[""part shade""]",Average,True,-40.0
527,"[""full sun"", ""part shade""]",Average,False,-40.0
528,"[""part shade"", ""part sun/part shade""]",Average,True,-34.4
529,"[""filtered shade"", ""part sun/part shade"", ""full sun""]",Average,True,-40.0
530,"[""deep shade"", ""filtered shade"", ""part sun/part shade""]",Average,True,-40.0
531,"[""deep shade"", ""filtered shade"", ""part sun/part shade""]",Average,True,-40.0
532,"[""filtered shade"", ""part sun/part shade"", ""full sun""]",Average,True,-40.0
533,"[""deep shade"", ""filtered shade"", ""part sun/part shade""]",Average,True,-40.0
534,"[""full sun"", ""part shade""]",Frequent,True,-40.0
535,"[""full sun"", ""part shade""]",Average,True,-40.0
536,"[""Full sun""]",Average,False,-12.2
537,"[""full sun"", ""part shade""]",Average,True,-34.4
538,"[""full sun"", ""part shade""]",Average,False,-40.0
540,"[""full sun""]",Minimum,True,4.4
541,"[""full sun"", ""part shade""]",Average,True,-40.0
542,"[""full sun""]",Average,True,-40.0
543,"[""part shade"", ""part sun/part shade""]",Average,False,-28.9
544,"[""part shade"", ""part sun/part shade""]",Average,True,-12.2
545,"[""part sun/part shade"", ""part shade""]",Average,False,-40.0
546,"[""part shade""]",Average,True,-1.1
547,"[""full sun"", ""part shade""]",Average,True,-23.3
548,"[""full sun""]",Average,True,-1.1
549,"[""part sun/part shade""]",Average,True,-1.1
550,"[""full sun""]",Frequent,False,-34.4
551,"[""full sun"", ""part shade""]",Average,True,-1.1
552,"[""part shade"", ""full sun""]",Average,True,-1.1
560,"[""full sun"", ""part shade""]",Average,True,-28.9
564,"[""part shade"", ""full sun""]",Average,True,-34.4
565,"[""part shade"", ""full shade""]",Average,True,-34.4
566,"[""part shade"", ""full shade""]",Average,False,-34.4
567,"[""full sun"", ""part shade""]",Average,True,-34.4
568,"[""part shade"", ""full sun"", ""part sun/part shade""]",Minimum,False,-17.8
570,"[""full sun"", ""part sun/part shade""]",Average,True,-6.7
571,"[""full sun""]",Average,True,-45.6
572,"[""full sun""]",Average,True,-12.2
573,"[""full sun"", ""part shade""]",Average,True,-28.9
574,"[""part shade""]",Average,True,-28.9
575,"[""full sun"", ""part shade""]",Average,True,-23.3
576,"[""full sun"", ""part shade""]",Average,False,-17.8
577,"[""full sun"", ""part shade""]",Average,False,-17.8
578,"[""full sun"", ""part shade""]",Average,True,-17.8
579,"[""full sun"", ""part shade""]",Average,True,-23.3
580,"[""full sun"", ""part sun/part shade""]",Average,False,-23.3
581,"[""full sun""]",Average,True,-28.9
582,"[""full sun""]",Average,False,-23.3
583,"[""full sun""]",Average,False,-28.9
584,"[""full sun"", ""part sun/part shade""]",Frequent,True,-28.9
585,"[""full sun"", ""part sun/part shade""]",Average,True,-28.9
586,"[""full sun"", ""part shade""]",Average,True,-28.9
587,"[""full sun"", ""part shade""]",Average,True,-28.9
588,"[""full sun""]",Frequent,True,-23.3
589,"[""full sun"", ""part sun/part shade""]",Average,False,-34.4
590,"[""full sun""]",Average,True,-28.9
591,"[""full sun""]",Average,True,-23.3
592,"[""full sun"", ""part sun/part shade""]",Average,True,-45.6
593,"[""full sun""]",Average,False,-23.3
594,"[""full sun""]",Average,True,-23.3
595,"[""full sun""]",Average,True,-23.3
596,"[""full sun"", ""part shade""]",Average,True,-28.9
597,"[""full sun"", ""part shade""]",Average,False,-28.9
598,"[""full sun"", ""part shade""]",Average,True,-28.9
599,"[""full sun"", ""part shade""]",Average,True,-23.3
600,"[""full sun""]",Frequent,True,-23.3
601,"[""full sun""]",Average,False,-23.3
602,"[""Full sun""]",Average,True,-23.3
603,"[""full sun""]",Average,True,-28.9
604,"[""full sun""]",Average,False,-23.3
605,"[""full sun""]",Average,False,-28.9
606,"[""full sun"", ""sheltered""]",Minimum,True,-12.2
607,"[""full sun"", ""part shade""]",Minimum,True,-1.1
608,"[""full sun""]",Average,True,-6.7
609,"[""full sun"", ""part shade""]",Average,True,-12.2
610,"[""full sun""]",Minimum,False,-6.7
611,"[""full sun""]",Minimum,True,-17.8
612,"[""full sun""]",Minimum,True,-17.8
613,"[""full sun""]",Minimum,True,-17.8
614,"[""full sun""]",Average,True,-12.2
615,"[""full sun""]",Average,True,-12.2
616,"[""full sun""]",Average,False,-6.7
617,"[""full sun""]",Minimum,True,-12.2
618,"[""full sun""]",Minimum,True,-12.2
619,"[""full sun"", ""part shade""]",Average,True,-40.0
620,"[""full sun"", ""part shade""]",Frequent,True,-40.0
621,"[""part sun/part shade"", ""full sun""]",Average,True,-45.6
622,"[""part sun/part shade"", ""full sun""]",Average,False,-45.6
623,"[""full sun""]",Average,True,-1.1
624,"[""full sun"", ""part shade""]",Average,True,-1.1
625,"[""part shade"", ""full shade""]",Average,True,-1.1
626,"[""part shade"", ""full shade""]",Average,True,-1.1
627,"[""part sun/part shade"", ""part shade""]",Average,True,-1.1
628,"[""part shade"", ""full shade""]",Average,True,-1.1
629,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
630,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
632,"[""full sun"", ""part shade""]",Average,True,-28.9
633,"[""full sun"", ""part shade""]",Average,True,-28.9
634,"[""part sun/part shade""]",Average,True,-40.0
635,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
636,"[""part sun/part shade"", ""filtered shade""]",Average,True,-40.0
637,"[""part sun/part shade"", ""part shade""]",Average,False,-40.0
638,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
639,"[""part sun/part shade"", ""full sun""]",Average,True,-40.0
640,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
641,"[""part sun/part shade"", ""full sun""]",Frequent,True,-40.0
642,"[""part sun/part shade"", ""full sun""]",Average,True,-40.0
643,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
644,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
645,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
646,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
647,"[""full sun"", ""part sun/part shade""]",Average,True,-40.0
648,"[""part shade"", ""part sun/part shade""]",Average,True,-28.9
649,"[""full sun"", ""part shade""]",Frequent,True,-34.4
650,"[""full sun""]",Average,True,-17.8
651,"[""full sun"", ""part shade""]",Minimum,False,-17.8
653,"[""full sun"", ""part shade""]",Average,False,-45.6
654,"[""full sun"", ""part shade""]",Average,False,-45.6
655,"[""full sun"", ""part shade""]",Average,True,-45.6
656,"[""part sun/part shade""]",Average,True,-34.4
657,"[""part sun/part shade"", ""filtered shade""]",Average,False,-40.0
658,"[""full sun"", ""part shade""]",Average,False,-40.0
659,"[""full sun"", ""part shade""]",Average,False,-40.0
661,"[""full sun"", ""part sun/part shade""]",Frequent,True,-28.9
662,"[""full sun"", ""part sun/part shade""]",Frequent,False,-1.1
663,"[""full sun""]",Average,True,-23.3
664,"[""full sun"", ""part sun/part shade""]",Average,False,-34.4
665,"[""full sun"", ""part shade""]",Average,False,-28.9
666,"[""full sun"", ""part sun/part shade""]",Average,True,-28.9
667,"[""full sun""]",Average,False,-28.9
668,"[""full sun"", ""part sun/part shade""]",Average,True,-34.4
669,"[""full sun"", ""part shade""]",Average,True,-34.4
670,"[""full sun""]",Average,False,-34.4
671,"[""full sun""]",Frequent,False,-23.3
672,"[""full sun""]",Average,False,-34.4
673,"[""full sun""]",Average,True,-28.9
674,"[""full sun"", ""part shade""]",Average,True,-23.3
675,"[""full sun""]",Average,False,-34.4
676,"[""full sun""]",Average,False,-28.9
677,"[""full sun"", ""part shade""]",Average,True,-34.4
678,"[""full sun""]",Average,True,-28.9
679,"[""full sun"", ""part shade""]",Average,True,-28.9
680,"[""full sun"", ""part shade""]",Average,True,-40.0
681,"[""full sun""]",Average,True,-34.4
682,"[""full sun""]",Average,True,-34.4
683,"[""full sun""]",Average,True,-34.4
684,"[""full sun""]",Average,False,-34.4
685,"[""full sun"", ""part shade""]",Frequent,True,-34.4
686,"[""full sun"", ""part shade""]",Average,True,-34.4
687,"[""full sun"", ""part sun/part shade""]",Average,True,-28.9
688,"[""full sun"", ""part shade""]",Average,True,-34.4
689,"[""full sun"", ""part shade""]",Average,True,-34.4
690,"[""full sun"", ""part shade""]",Average,True,-40.0
691,"[""full sun"", ""part shade""]",Average,True,-34.4
692,"[""full sun"", ""part shade""]",Minimum,True,-34.4
693,"[""full sun""]",Average,True,-34.4
694,"[""full sun""]",Minimum,True,-40.0
695,"[""full sun"", ""part shade""]",Average,True,-28.9
696,"[""full sun"", ""part shade""]",Average,True,-34.4
697,"[""full sun"", ""part shade""]",Average,True,-40.0
698,"[""full sun"", ""part shade""]",Average,False,-28.9
699,"[""full sun"", ""part shade""]",Frequent,True,-6.7
700,"[""full sun"", ""part shade""]",Average,True,-6.7
710,"[""part shade"", ""part sun/part shade""]",Average,True,-1.1
711,"[""part shade""]",Frequent,False,-1.1
712,"[""part shade""]",Average,False,-6.7
713,"[""full sun"", ""part shade""]",Average,True,-1.1
714,"[""full sun"", ""part shade""]",Average,False,-17.8
715,"[""part shade""]",Average,True,-6.7
716,"[""full sun"", ""part shade""]",Average,False,-6.7
717,"[""full sun"", ""part shade""]",Average,True,-17.8
718,"[""part sun/part shade""]",Average,True,-6.7
719,"[""full sun"", ""part shade""]",Average,False,-17.8
720,"[""full sun""]",Average,False,-6.7
721,"[""part shade"", ""part sun/part shade""]",Minimum,True,-6.7
722,"[""full sun"", ""part shade""]",Average,False,-6.7
723,"[""full sun"", ""part sun/part shade""]",Average,True,-6.7
724,"[""full sun"", ""part shade""]",Average,True,-1.1
725,"[""full sun""]",Minimum,True,-6.7
726,"[""full sun""]",Minimum,True,-6.7
728,"[""full sun""]",Minimum,True,-1.1
729,"[""full sun""]",Average,True,-12.2
730,"[""Full sun""]",Minimum,True,-12.2
731,"[""full sun"", ""part shade""]",Average,False,4.4
732,"[""full sun"", ""part sun/part shade""]",Average,True,-12.2
733,"[""Full sun"", ""part shade""]",Average,True,-12.2
734,"[""part shade"", ""part sun/part shade""]",Average,True,-12.2
735,"[""full sun"", ""part shade""]",Average,False,-17.8
736,"[""full sun"", ""part shade""]",Average,False,-12.2
737,"[""full sun"", ""part shade""]",Average,False,-17.8
738,"[""full sun"", ""part shade""]",Average,False,-17.8
739,"[""full sun"", ""part shade""]",Average,False,-17.8
740,"[""full sun"", ""part shade""]",Average,False,-28.9
741,"[""full sun"", ""part shade""]",Average,True,-12.2
742,"[""full sun"", ""part shade""]",Average,False,-12.2
743,"[""full sun"", ""part shade""]",Average,False,-28.9
744,"[""full sun"", ""part shade""]",Average,False,-12.2
745,"[""full sun"", ""part shade""]",Frequent,True,-6.7
746,"[""full sun"", ""part shade""]",Average,True,-1.1
747,"[""full sun"", ""part shade""]",Frequent,False,-1.1
748,"[""full sun"", ""part shade""]",Average,True,-1.1
749,"[""full sun""]",Frequent,False,-40.0
750,"[""full sun""]",Average,True,-23.3
751,"[""Full sun""]",Frequent,True,-17.8
752,"[""full sun""]",Average,True,-34.4
753,"[""full sun"", ""part shade""]",Average,True,-45.6
754,"[""full sun"", ""part shade""]",Average,True,-45.6
755,"[""full sun""]",Average,True,-45.6
756,"[""full sun""]",Average,True,-45.6
757,"[""full sun""]",Average,True,-45.6
765,"[""full sun"", ""part shade""]",Average,True,-40.0
766,"[""full sun"", ""part shade""]",Average,True,-28.9
767,"[""Full sun"", ""part shade""]",Average,True,-34.4
768,"[""full sun""]",Average,False,-45.6
769,"[""full sun""]",Average,True,-34.4
770,"[""full sun"", ""part shade""]",Average,False,-28.9
771,"[""part shade"", ""part sun/part shade""]",Average,True,-23.3
772,"[""full sun"", ""part shade""]",Frequent,True,-34.4
773,"[""full sun"", ""part shade""]",Average,True,-34.4
774,"[""full sun"", ""part shade""]",Average,True,-34.4
775,"[""full sun"", ""part shade""]",Average,True,-34.4
776,"[""full sun"", ""part shade""]",Average,True,-28.9
777,"[""full sun"", ""part shade""]",Average,False,-28.9
778,"[""full sun"", ""part shade""]",Frequent,True,-28.9
779,"[""full sun"", ""part shade""]",Minimum,True,-28.9
780,"[""full sun"", ""part shade""]",Average,True,-28.9
781,"[""full sun"", ""part shade""]",Minimum,False,-28.9
782,"[""full sun"", ""part shade""]",Frequent,True,-34.4
783,"[""full sun"", ""part shade""]",Average,True,-28.9
784,"[""full sun"", ""part shade""]",Average,True,-34.4
785,"[""full sun"", ""part shade""]",Average,True,-40.0
786,"[""full sun"", ""part shade""]",Average,True,-34.4
787,"[""full sun"", ""part shade""]",Average,True,-28.9
788,"[""full sun"", ""part shade""]",Frequent,True,-40.0
789,"[""full sun"", ""part shade""]",Average,True,-40.0
790,"[""full sun""]",Average,True,-12.2
791,"[""full sun""]",Frequent,True,4.4
792,"[""full sun""]",Frequent,False,-6.7
793,"[""part sun/part shade""]",Frequent,True,4.4
794,"[""full sun"", ""part sun/part shade""]",Frequent,True,-40.0
795,"[""full sun"", ""part shade""]",Frequent,True,-40.0
796,"[""full sun"", ""part shade""]",Frequent,True,-40.0
797,"[""full sun"", ""part shade""]",Average,False,-40.0
798,"[""full sun"", ""part shade""]",Average,True,-40.0
799,"[""full sun"", ""part shade""]",Frequent,True,-23.3
800,"[""full sun"", ""part sun/part shade""]",Average,True,-34.4
801,"[""part sun/part shade"", ""full sun""]",Average,True,-34.4
802,"[""full sun"", ""part sun/part shade""]",Minimum,True,-34.4
803,"[""full sun"", ""part sun/part shade""]",Minimum,False,-34.4
804,"[""Full sun""]",Minimum,True,-28.9
805,"[""part shade""]",Frequent,True,-40.0
806,"[""full sun"", ""part shade""]",Average,True,-28.9
807,"[""full sun"", ""part shade""]",Average,True,-28.9
808,"[""full sun"", ""part shade""]",Frequent,True,-28.9
809,"[""full sun"", ""part shade""]",Average,True,-28.9
810,"[""full sun"", ""part shade""]",Average,True,-40.0
811,"[""full sun"", ""part shade""]",Average,False,-17.8
